,Name of movie,Year of relase,Watchtime,Genre,Movie Rating,Votes
206,A Series of Unfortunate Events,2004,108,"Adventure, Comedy, Family",6.8,"207,057"
207,The Big Sick,2017,120,"Comedy, Drama, Romance",7.5,"133,387"
208,Guilty Minds,2022,50,Drama,7.4,"1,728"
209,Absentia,2017–2020,60,"Crime, Drama, Mystery",7.2,"15,225"
210,Coming 2 America,2021,110,Comedy,5.3,"68,445"
211,Geostorm,2017,109,"Action, Sci-Fi, Thriller",5.3,"106,128"
212,The Equalizer 2,2018,121,"Action, Crime, Thriller",6.7,"155,347"
213,Anything's Possible,2022,***,Romance,***,***
214,Cold Pursuit,2019,119,"Action, Comedy, Crime",6.2,"68,169"
215,Six,2017–2018,60,"Action, Drama, History",7.2,"12,546"
216,The Goldfinch,2019,149,Drama,6.3,"22,217"
217,The Grudge,I 2020,94,"Fantasy, Horror",4.3,"25,615"
218,Sound of Metal,2019,120,"Drama, Music",7.7,"120,169"
219,Alex Rider,2020,45,"Action, Adventure, Drama",7.5,"14,699"
220,Pushpa: The Rise - Part 1,2021,179,"Action, Adventure, Crime",7.6,"63,217"
221,Zone Blanche,2017,52,"Crime, Drama, Horror",7.4,"11,078"
222,Master,2021,178,"Action, Thriller",7.3,"71,939"
223,The Walking Dead: World Beyond,2020–2021,60,"Drama, Horror, Sci-Fi",4.3,"14,177"
224,The Rainmaker,1997,135,"Crime, Drama, Thriller",7.2,"72,146"
225,Easy Rider,1969,95,"Adventure, Drama",7.3,"108,965"
226,227,1985–1990,30,Comedy,6.6,"3,430"
227,Homecoming,2018,30,"Drama, Mystery, Thriller",7.4,"24,180"
228,The Jeffersons,1975–1985,30,Comedy,7.5,"9,336"
229,Kevin Can F**k Himself,2021–2022,45,"Comedy, Drama",6.9,"7,436"
230,Patriot,II 2015–2018,58,"Comedy, Drama, Thriller",8.2,"14,565"
231,My Son,2021,95,"Crime, Drama, Mystery",6.0,"10,363"
232,Utopia,2020,55,"Action, Drama, Mystery",6.7,"13,676"
233,La abuela,2021,100,Horror,6.0,"2,837"
234,Catch-22,2019,45,"Action, Adventure, Comedy",7.7,"17,557"
235,StartUp,2016,44,"Crime, Thriller",7.8,"28,679"
236,My Policeman,2022,***,"Drama, Romance",***,***
237,Fartblinda,2019,45,"Drama, Thriller",7.0,"1,386"
238,Chloe,2022,58,"Drama, Mystery",6.5,"1,809"
239,Diff'rent Strokes,1978–1986,30,"Comedy, Drama, Family",6.6,"11,286"
240,Dirty Grandpa,2016,102,Comedy,5.8,"122,479"
241,Book of Love,2022,106,"Comedy, Romance",5.5,"1,932"
242,Mirzapur,2018,60,"Action, Crime, Drama",8.5,"68,745"
243,A Perfect Murder,1998,107,"Crime, Drama, Thriller",6.6,"84,956"
244,Jamestown,2017–2019,60,"Drama, History",6.8,"4,883"
245,Lost Girl,2010–2016,44,"Action, Drama, Fantasy",7.6,"30,842"
246,Poseidon,2006,98,"Action, Adventure, Thriller",5.7,"104,010"
247,Tales from the Loop,2020,50,"Drama, Sci-Fi",7.4,"18,532"
248,The Night Shift,2014–2017,42,"Drama, Romance",7.4,"12,209"
249,Saani Kaayidham,2022,136,"Action, Crime, Drama",7.6,"2,657"
250,Crossing Lines,2013–2015,43,"Action, Crime, Drama",7.3,"13,013"
251,The Underground Railroad,2021,593,"Drama, History, War",7.3,"6,961"
252,Sanford and Son,1972–1977,30,Comedy,7.9,"9,449"
253,TURN,2014–2017,60,"Drama, History, War",8.1,"21,606"
254,Totems,2021,52,"Drama, Thriller",7.3,311
255,The Final Destination,2009,82,"Action, Horror, Thriller",5.1,"104,570"
256,Panic,2021,***,"Adventure, Crime, Drama",6.5,"7,949"
257,Catastrophe,2015–2019,24,Comedy,8.2,"19,065"
258,The Purge,2018–2019,42,"Action, Drama, Horror",6.5,"16,175"
259,A Very English Scandal,2018,180,"Biography, Comedy, Crime",7.7,"13,598"
260,Paatal Lok,2020,44,"Crime, Drama, Thriller",8.0,"58,603"
